# Ping Test: 公曆 20廿五年 四月 十一日 週五 十二時十九分廿八秒
# Target: 10.45.0.61
# Interface: ogstun
# Metadata: nFAPI-100M-UDP-DL
# Format: timestamp,seq,ttl,rtt_ms
2025-04-11 12:21:05.124,97,64,34.4
2025-04-11 12:21:06.129,98,64,38.3
2025-04-11 12:21:07.124,99,64,32.3
2025-04-11 12:21:08.125,100,64,30.8
2025-04-11 12:21:09.130,101,64,34.5
2025-04-11 12:21:10.139,102,64,42.8
2025-04-11 12:21:11.122,103,64,23.3
2025-04-11 12:21:12.122,104,64,22.3
2025-04-11 12:21:13.127,105,64,26.0
2025-04-11 12:21:14.127,106,64,25.0
2025-04-11 12:21:15.127,107,64,23.8
2025-04-11 12:21:16.132,108,64,26.8
2025-04-11 12:21:17.132,109,64,24.9
2025-04-11 12:21:18.137,110,64,29.9
2025-04-11 12:21:19.315,111,64,205
2025-04-11 12:21:20.145,112,64,34.7
2025-04-11 12:21:21.155,113,64,43.4
2025-04-11 12:21:22.140,114,64,27.1
2025-04-11 12:21:23.145,115,64,30.9
2025-04-11 12:21:24.155,116,64,39.4
2025-04-11 12:21:26.180,118,64,36.5
2025-04-11 12:21:27.180,119,64,35.0
2025-04-11 12:21:28.172,120,64,26.1
2025-04-11 12:21:29.157,121,64,10.3
2025-04-11 12:21:30.172,122,64,23.5
2025-04-11 12:21:31.177,123,64,27.0
2025-04-11 12:21:32.177,124,64,25.9
2025-04-11 12:21:33.177,125,64,24.0
2025-04-11 12:21:34.177,126,64,23.3
2025-04-11 12:21:35.187,127,64,31.9
2025-04-11 12:21:36.187,128,64,30.5
2025-04-11 12:21:37.179,129,64,19.5
2025-04-11 12:21:38.187,130,64,27.4
2025-04-11 12:21:39.187,131,64,25.8
2025-04-11 12:21:42.274,134,64,67.6
2025-04-11 12:21:43.280,135,64,71.0
2025-04-11 12:21:46.285,138,64,41.6
2025-04-11 12:21:47.280,139,64,35.0
2025-04-11 12:21:48.280,140,64,33.7
2025-04-11 12:21:49.285,141,64,37.6
2025-04-11 12:21:50.290,142,64,40.9
2025-04-11 12:21:51.277,143,64,26.3
2025-04-11 12:21:52.278,144,64,24.9
2025-04-11 12:21:53.277,145,64,23.8
2025-04-11 12:21:54.284,146,64,26.7
